x,y,v
10,114,0
10,116,0
10,118,0
10,120,0
10,122,0
10,124,0
10,126,0
10,128,0
10,130,0
10,132,0
10,134,0
10,136,0
10,138,0
10,140,0
10,142,0
10,144,0
10,146,0
10,148,0
12,0,2
12,2,2
12,4,2
12,6,2
12,8,1
12,10,1
12,12,1
12,14,1
12,16,1
12,18,1
12,20,1
12,22,1
12,24,1
12,26,1
12,28,1
12,30,1
12,32,1
12,34,1
12,36,1
12,38,1
12,40,1
12,42,1
12,44,1
12,46,1
12,48,1
12,50,1
12,52,1
12,54,1
12,56,1
12,58,1
12,60,1
12,62,1
12,64,1
12,66,1
12,68,1
12,70,1
12,72,1
12,74,1
12,76,1
12,78,1
12,80,1
12,82,1
12,84,1
12,86,1
12,88,1
12,90,1
12,92,1
12,94,1
12,96,1
12,98,1
12,100,1
12,102,1
12,104,1
12,106,1
12,108,0
12,110,0
12,112,0
12,114,0
12,116,0
12,118,0
12,120,0
12,122,0
12,124,0
12,126,0
12,128,0
12,130,0
12,132,0
12,134,0
12,136,0
12,138,0
12,140,0
12,142,0
12,144,0
12,146,0
12,148,1
14,0,2
14,2,2
14,4,1
14,6,2
14,8,1
14,10,1
14,12,2
14,14,2
14,16,1
14,18,1
14,20,1
14,22,1
14,24,1
14,26,1
14,28,1
14,30,1
14,32,1
14,34,1
14,36,1
14,38,1
14,40,1
14,42,1
14,44,1
14,46,1
14,48,1
14,50,1
14,52,1
14,54,1
14,56,1
14,58,1
14,60,1
14,62,2
14,64,2
14,66,2
14,68,2
14,70,2
14,72,2
14,74,2
14,76,2
14,78,2
14,80,2
14,82,2
14,84,2
14,86,2
14,88,2
14,90,2
14,92,2
14,94,2
14,96,2
14,98,2
14,100,2
14,102,2
14,104,2
14,106,1
14,108,1
14,110,1
14,112,1
14,114,1
14,116,1
14,118,1
14,120,1
14,122,1
14,124,1
14,126,1
14,128,0
14,130,0
14,132,0
14,134,0
14,136,1
14,138,0
14,140,1
14,142,1
14,144,1
14,146,1
14,148,1
16,0,2
16,2,2
16,4,2
16,6,2
16,8,2
16,10,1
16,12,1
16,14,2
16,16,2
16,18,1
16,20,1
16,22,2
16,24,1
16,26,1
16,28,1
16,30,2
16,32,2
16,34,1
16,36,1
16,38,1
16,40,2
16,42,1
16,44,2
16,46,2
16,48,2
16,50,2
16,52,2
16,54,2
16,56,2
16,58,2
16,60,2
16,62,2
16,64,3
16,66,3
16,68,3
16,70,3
16,72,3
16,74,3
16,76,3
16,78,3
16,80,3
16,82,4
16,84,3
16,86,3
16,88,3
16,90,3
16,92,3
16,94,3
16,96,3
16,98,3
16,100,3
16,102,2
16,104,2
16,106,2
16,108,2
16,110,2
16,112,2
16,114,2
16,116,2
16,118,2
16,120,1
16,122,1
16,124,1
16,126,1
16,128,1
16,130,1
16,132,1
16,134,1
16,136,1
16,138,1
16,140,1
16,142,1
16,144,1
16,146,1
16,148,1
18,0,2
18,2,2
18,4,2
18,6,2
18,8,2
18,10,2
18,12,2
18,14,2
18,16,2
18,18,2
18,20,2
18,22,2
18,24,2
18,26,2
18,28,2
18,30,2
18,32,2
18,34,2
18,36,2
18,38,2
18,40,2
18,42,2
18,44,2
18,46,3
18,48,3
18,50,3
18,52,3
18,54,3
18,56,3
18,58,3
18,60,4
18,62,4
18,64,4
18,66,4
18,68,4
18,70,4
18,72,5
18,74,5
18,76,5
18,78,5
18,80,5
18,82,5
18,84,5
18,86,5
18,88,5
18,90,5
18,92,5
18,94,5
18,96,5
18,98,5
18,100,4
18,102,4
18,104,4
18,106,4
18,108,3
18,110,3
18,112,3
18,114,3
18,116,3
18,118,2
18,120,2
18,122,2
18,124,2
18,126,2
18,128,2
18,130,1
18,132,2
18,134,1
18,136,1
18,138,1
18,140,1
18,142,1
18,144,1
18,146,1
18,148,1
20,0,2
20,2,2
20,4,2
20,6,2
20,8,2
20,10,2
20,12,2
20,14,2
20,16,2
20,18,2
20,20,2
20,22,2
20,24,2
20,26,2
20,28,2
20,30,2
20,32,2
20,34,2
20,36,2
20,38,3
20,40,3
20,42,3
20,44,3
20,46,3
20,48,3
20,50,4
20,52,4
20,54,4
20,56,4
20,58,5
20,60,5
20,62,5
20,64,6
20,66,6
20,68,6
20,70,6
20,72,6
20,74,7
20,76,7
20,78,7
20,80,7
20,82,7
20,84,7
20,86,7
20,88,7
20,90,7
20,92,7
20,94,7
20,96,7
20,98,6
20,100,6
20,102,6
20,104,6
20,106,5
20,108,5
20,110,5
20,112,4
20,114,4
20,116,4
20,118,3
20,120,3
20,122,3
20,124,3
20,126,2
20,128,2
20,130,2
20,132,2
20,134,2
20,136,2
20,138,2
20,140,2
20,142,1
20,144,2
20,146,1
20,148,1
22,0,2
22,2,2
22,4,2
22,6,2
22,8,2
22,10,2
22,12,2
22,14,2
22,16,2
22,18,2
22,20,2
22,22,2
22,24,2
22,26,2
22,28,3
22,30,2
22,32,3
22,34,3
22,36,3
22,38,3
22,40,3
22,42,4
22,44,4
22,46,4
22,48,5
22,50,5
22,52,5
22,54,5
22,56,6
22,58,6
22,60,7
22,62,7
22,64,7
22,66,8
22,68,8
22,70,9
22,72,9
22,74,9
22,76,10
22,78,10
22,80,10
22,82,10
22,84,10
22,86,10
22,88,10
22,90,10
22,92,9
22,94,9
22,96,9
22,98,9
22,100,8
22,102,8
22,104,8
22,106,7
22,108,7
22,110,6
22,112,6
22,114,6
22,116,5
22,118,5
22,120,4
22,122,4
22,124,4
22,126,3
22,128,3
22,130,3
22,132,3
22,134,3
22,136,2
22,138,2
22,140,2
22,142,2
22,144,2
22,146,2
22,148,2
24,0,2
24,2,2
24,4,2
24,6,2
24,8,2
24,10,2
24,12,2
24,14,2
24,16,3
24,18,2
24,20,3
24,22,2
24,24,3
24,26,3
24,28,3
24,30,3
24,32,3
24,34,3
24,36,4
24,38,4
24,40,4
24,42,4
24,44,5
24,46,5
24,48,6
24,50,6
24,52,7
24,54,7
24,56,8
24,58,8
24,60,9
24,62,9
24,64,10
24,66,10
24,68,11
24,70,11
24,72,12
24,74,12
24,76,12
24,78,13
24,80,13
24,82,13
24,84,13
24,86,13
24,88,13
24,90,13
24,92,13
24,94,12
24,96,12
24,98,11
24,100,11
24,102,11
24,104,10
24,106,10
24,108,9
24,110,8
24,112,8
24,114,7
24,116,7
24,118,6
24,120,6
24,122,5
24,124,5
24,126,4
24,128,4
24,130,4
24,132,3
24,134,3
24,136,3
24,138,3
24,140,2
24,142,2
24,144,2
24,146,2
24,148,2
26,0,3
26,2,2
26,4,2
26,6,2
26,8,3
26,10,2
26,12,3
26,14,3
26,16,3
26,18,3
26,20,3
26,22,3
26,24,3
26,26,3
26,28,3
26,30,4
26,32,4
26,34,4
26,36,4
26,38,5
26,40,5
26,42,6
26,44,6
26,46,7
26,48,7
26,50,8
26,52,8
26,54,9
26,56,10
26,58,10
26,60,11
26,62,12
26,64,12
26,66,13
26,68,14
26,70,14
26,72,15
26,74,15
26,76,16
26,78,16
26,80,17
26,82,17
26,84,17
26,86,17
26,88,17
26,90,17
26,92,16
26,94,16
26,96,15
26,98,15
26,100,14
26,102,14
26,104,13
26,106,12
26,108,12
26,110,11
26,112,10
26,114,9
26,116,9
26,118,8
26,120,7
26,122,7
26,124,6
26,126,6
26,128,5
26,130,5
26,132,4
26,134,4
26,136,4
26,138,4
26,140,3
26,142,3
26,144,3
26,146,3
26,148,2
28,0,3
28,2,3
28,4,3
28,6,3
28,8,3
28,10,3
28,12,3
28,14,3
28,16,3
28,18,3
28,20,3
28,22,4
28,24,3
28,26,4
28,28,4
28,30,4
28,32,4
28,34,5
28,36,5
28,38,6
28,40,6
28,42,7
28,44,7
28,46,8
28,48,9
28,50,10
28,52,10
28,54,11
28,56,12
28,58,13
28,60,14
28,62,14
28,64,15
28,66,16
28,68,17
28,70,18
28,72,19
28,74,19
28,76,20
28,78,20
28,80,21
28,82,21
28,84,21
28,86,21
28,88,21
28,90,21
28,92,20
28,94,20
28,96,19
28,98,19
28,100,18
28,102,17
28,104,16
28,106,15
28,108,14
28,110,14
28,112,13
28,114,12
28,116,10
28,118,10
28,120,9
28,122,8
28,124,7
28,126,7
28,128,6
28,130,6
28,132,5
28,134,4
28,136,4
28,138,4
28,140,4
28,142,3
28,144,3
28,146,3
28,148,3
30,0,3
30,2,3
30,4,3
30,6,3
30,8,3
30,10,3
30,12,3
30,14,3
30,16,3
30,18,3
30,20,4
30,22,4
30,24,4
30,26,4
30,28,5
30,30,5
30,32,5
30,34,6
30,36,6
30,38,7
30,40,7
30,42,8
30,44,9
30,46,9
30,48,10
30,50,11
30,52,12
30,54,13
30,56,15
30,58,15
30,60,16
30,62,18
30,64,19
30,66,20
30,68,21
30,70,22
30,72,23
30,74,24
30,76,24
30,78,25
30,80,25
30,82,26
30,84,26
30,86,26
30,88,26
30,90,25
30,92,25
30,94,24
30,96,24
30,98,23
30,100,22
30,102,21
30,104,20
30,106,19
30,108,18
30,110,17
30,112,16
30,114,14
30,116,13
30,118,12
30,120,11
30,122,10
30,124,9
30,126,8
30,128,7
30,130,7
30,132,6
30,134,5
30,136,5
30,138,5
30,140,4
30,142,4
30,144,4
30,146,3
30,148,3
32,0,3
32,2,3
32,4,3
32,6,3
32,8,3
32,10,3
32,12,3
32,14,4
32,16,4
32,18,4
32,20,4
32,22,4
32,24,5
32,26,5
32,28,5
32,30,6
32,32,6
32,34,7
32,36,7
32,38,8
32,40,9
32,42,9
32,44,10
32,46,11
32,48,12
32,50,13
32,52,15
32,54,16
32,56,17
32,58,18
32,60,20
32,62,21
32,64,22
32,66,23
32,68,25
32,70,26
32,72,27
32,74,28
32,76,29
32,78,30
32,80,30
32,82,30
32,84,31
32,86,31
32,88,31
32,90,30
32,92,30
32,94,29
32,96,28
32,98,27
32,100,26
32,102,25
32,104,24
32,106,23
32,108,21
32,110,20
32,112,18
32,114,17
32,116,16
32,118,14
32,120,13
32,122,12
32,124,11
32,126,10
32,128,9
32,130,8
32,132,7
32,134,7
32,136,6
32,138,5
32,140,5
32,142,5
32,144,4
32,146,4
32,148,4
34,0,3
34,2,3
34,4,3
34,6,3
34,8,3
34,10,4
34,12,4
34,14,4
34,16,4
34,18,4
34,20,4
34,22,5
34,24,5
34,26,5
34,28,6
34,30,6
34,32,7
34,34,8
34,36,8
34,38,9
34,40,10
34,42,11
34,44,12
34,46,13
34,48,14
34,50,16
34,52,17
34,54,18
34,56,20
34,58,21
34,60,23
34,62,24
34,64,26
34,66,28
34,68,29
34,70,30
34,72,32
34,74,33
34,76,34
34,78,35
34,80,35
34,82,36
34,84,36
34,86,36
34,88,36
34,90,35
34,92,35
34,94,34
34,96,33
34,98,32
34,100,31
34,102,29
34,104,28
34,106,26
34,108,25
34,110,23
34,112,21
34,114,20
34,116,18
34,118,17
34,120,15
34,122,14
34,124,13
34,126,12
34,128,11
34,130,10
34,132,8
34,134,8
34,136,7
34,138,6
34,140,6
34,142,5
34,144,5
34,146,5
34,148,4
36,0,3
36,2,3
36,4,3
36,6,4
36,8,3
36,10,4
36,12,4
36,14,4
36,16,4
36,18,5
36,20,5
36,22,5
36,24,5
36,26,6
36,28,7
36,30,7
36,32,8
36,34,8
36,36,9
36,38,10
36,40,11
36,42,12
36,44,13
36,46,15
36,48,16
36,50,18
36,52,19
36,54,21
36,56,23
36,58,24
36,60,26
36,62,28
36,64,30
36,66,31
36,68,33
36,70,35
36,72,36
36,74,38
36,76,39
36,78,40
36,80,40
36,82,41
36,84,41
36,86,41
36,88,41
36,90,41
36,92,40
36,94,39
36,96,38
36,98,37
36,100,35
36,102,34
36,104,32
36,106,31
36,108,28
36,110,26
36,112,24
36,114,23
36,116,21
36,118,19
36,120,18
36,122,16
36,124,15
36,126,13
36,128,12
36,130,11
36,132,10
36,134,9
36,136,8
36,138,7
36,140,7
36,142,6
36,144,6
36,146,5
36,148,5
38,0,3
38,2,4
38,4,3
38,6,4
38,8,4
38,10,4
38,12,4
38,14,4
38,16,5
38,18,5
38,20,5
38,22,6
38,24,6
38,26,7
38,28,7
38,30,8
38,32,9
38,34,9
38,36,10
38,38,11
38,40,12
38,42,14
38,44,15
38,46,16
38,48,18
38,50,20
38,52,22
38,54,24
38,56,26
38,58,27
38,60,29
38,62,32
38,64,34
38,66,36
38,68,37
38,70,39
38,72,41
38,74,43
38,76,44
38,78,45
38,80,46
38,82,46
38,84,47
38,86,47
38,88,47
38,90,46
38,92,45
38,94,44
38,96,43
38,98,41
38,100,40
38,102,38
38,104,36
38,106,34
38,108,32
38,110,30
38,112,28
38,114,25
38,116,24
38,118,21
38,120,20
