x,y,v
65,75,-386
65,80,-364
65,85,-338
65,90,-305
65,95,-266
65,100,-225
65,105,-186
65,110,-145
65,115,-107
65,120,-74
65,125,-47
65,130,-23
65,135,-5
65,140,11
65,145,18
70,0,-57
70,5,-75
70,10,-95
70,15,-116
70,20,-142
70,25,-167
70,30,-196
70,35,-225
70,40,-252
70,45,-275
70,50,-296
70,55,-312
70,60,-320
70,65,-324
70,70,-320
70,75,-308
70,80,-290
70,85,-267
70,90,-238
70,95,-206
70,100,-172
70,105,-140
70,110,-108
70,115,-76
70,120,-50
70,125,-29
70,130,-10
70,135,5
70,140,17
70,145,23
75,0,-44
75,5,-57
75,10,-72
75,15,-90
75,20,-108
75,25,-128
75,30,-150
75,35,-170
75,40,-191
75,45,-209
75,50,-225
75,55,-237
75,60,-243
75,65,-244
75,70,-241
75,75,-231
75,80,-215
75,85,-196
75,90,-173
75,95,-147
75,100,-121
75,105,-96
75,110,-70
75,115,-47
75,120,-28
75,125,-12
75,130,3
75,135,15
75,140,23
75,145,28
80,0,-29
80,5,-39
80,10,-50
80,15,-62
80,20,-76
80,25,-89
80,30,-105
80,35,-120
80,40,-134
80,45,-146
80,50,-156
80,55,-164
80,60,-168
80,65,-169
80,70,-165
80,75,-157
80,80,-144
80,85,-131
80,90,-114
80,95,-94
80,100,-76
80,105,-57
80,110,-39
80,115,-23
80,120,-9
80,125,3
80,130,13
80,135,21
80,140,28
80,145,31
85,0,-17
85,5,-23
85,10,-32
85,15,-40
85,20,-49
85,25,-58
85,30,-68
85,35,-78
85,40,-88
85,45,-95
85,50,-101
85,55,-107
85,60,-108
85,65,-107
85,70,-104
85,75,-98
85,80,-90
85,85,-79
85,90,-68
85,95,-53
85,100,-41
85,105,-28
85,110,-16
85,115,-5
85,120,6
85,125,13
85,130,21
85,135,26
85,140,31
85,145,33
90,0,-6
90,5,-11
90,10,-17
90,15,-23
90,20,-28
90,25,-34
90,30,-41
90,35,-47
90,40,-53
90,45,-57
90,50,-61
90,55,-63
90,60,-64
90,65,-62
90,70,-60
90,75,-55
90,80,-49
90,85,-43
90,90,-33
90,95,-25
90,100,-16
90,105,-6
90,110,2
90,115,9
90,120,16
90,125,21
90,130,25
90,135,29
90,140,33
90,145,35
95,0,2
95,5,-3
95,10,-5
95,15,-9
95,20,-13
95,25,-16
95,30,-21
95,35,-24
95,40,-28
95,45,-31
95,50,-33
