x,y,v
70,110,-30
70,115,-36
70,120,-42
70,125,-47
70,130,-51
70,135,-56
70,140,-60
70,145,-63
75,0,71
75,5,77
75,10,81
75,15,83
75,20,85
75,25,84
75,30,82
75,35,79
75,40,75
75,45,69
75,50,62
75,55,54
75,60,46
75,65,37
75,70,27
75,75,18
75,80,9
75,85,1
75,90,-7
75,95,-14
75,100,-22
75,105,-28
75,110,-35
75,115,-40
75,120,-46
75,125,-50
75,130,-55
75,135,-58
75,140,-62
75,145,-64
80,0,47
80,5,52
80,10,56
80,15,57
80,20,58
80,25,57
80,30,56
80,35,52
80,40,49
80,45,44
80,50,39
80,55,33
80,60,25
80,65,18
80,70,11
80,75,3
80,80,-5
80,85,-10
80,90,-17
80,95,-24
80,100,-29
80,105,-35
80,110,-40
80,115,-45
80,120,-49
80,125,-53
80,130,-57
80,135,-59
80,140,-63
80,145,-64
85,0,19
85,5,23
85,10,26
85,15,26
85,20,27
85,25,27
85,30,25
85,35,22
85,40,20
85,45,16
85,50,13
85,55,7
85,60,3
85,65,-3
85,70,-9
85,75,-14
85,80,-19
85,85,-25
85,90,-31
85,95,-36
85,100,-40
85,105,-44
85,110,-48
85,115,-52
85,120,-57
85,125,-59
85,130,-61
85,135,-64
85,140,-67
85,145,-68
90,0,-13
90,5,-9
90,10,-8
90,15,-8
90,20,-8
90,25,-7
90,30,-9
90,35,-10
90,40,-12
90,45,-13
90,50,-17
90,55,-20
90,60,-22
90,65,-25
90,70,-29
90,75,-33
90,80,-37
90,85,-41
90,90,-44
90,95,-47
90,100,-49
90,105,-53
90,110,-56
90,115,-58
90,120,-62
90,125,-63
90,130,-66
90,135,-67
90,140,-69
90,145,-71
95,0,-45
95,5,-42
95,10,-41
95,15,-41
95,20,-41
95,25,-42
95,30,-42
95,35,-42
95,40,-43
95,45,-44
95,50,-44
95,55,-46
95,60,-46
95,65,-49
95,70,-50
95,75,-51
95,80,-53
95,85,-54
95,90,-57
95,95,-58
95,100,-59
95,105,-61
95,110,-63
