x,y,v
40,104,-388
40,108,-376
40,112,-323
40,116,-252
40,120,-185
40,124,-124
40,128,-73
40,132,-31
40,136,-2
40,140,18
40,144,30
40,148,37
44,0,-11
44,4,-6
44,8,-14
44,12,-17
44,16,-26
44,20,-35
44,24,-52
44,28,-68
44,32,-97
44,36,-128
44,40,-170
44,44,-216
44,48,-271
44,52,-328
44,56,-375
44,60,-387
44,64,-387
44,68,-384
44,72,-379
44,76,-376
44,80,-376
44,84,-379
44,88,-384
44,92,-388
44,96,-386
44,100,-370
44,104,-322
44,108,-264
44,112,-203
44,116,-146
44,120,-97
44,124,-56
44,128,-23
44,132,3
44,136,21
44,140,32
44,144,38
44,148,42
48,0,-12
48,4,-7
48,8,-15
48,12,-18
48,16,-26
48,20,-34
48,24,-48
48,28,-63
48,32,-87
48,36,-113
48,40,-147
48,44,-184
48,48,-230
48,52,-278
48,56,-326
48,60,-366
48,64,-383
48,68,-388
48,72,-388
48,76,-388
48,80,-388
48,84,-388
48,88,-387
48,92,-377
48,96,-345
48,100,-296
48,104,-244
48,108,-188
48,112,-135
48,116,-89
48,120,-53
48,124,-22
48,128,2
48,132,20
48,136,31
48,140,38
48,144,42
48,148,43
52,0,-14
52,4,-9
52,8,-16
52,12,-20
52,16,-27
52,20,-34
52,24,-48
52,28,-62
52,32,-83
52,36,-107
52,40,-137
52,44,-173
52,48,-216
52,52,-262
52,56,-307
52,60,-350
52,64,-377
52,68,-386
52,72,-388
52,76,-388
52,80,-388
52,84,-388
52,88,-384
52,92,-372
52,96,-335
52,100,-287
52,104,-232
52,108,-176
52,112,-123
52,116,-79
52,120,-43
52,124,-14
52,128,9
52,132,24
52,136,33
52,140,38
52,144,41
52,148,41
56,0,-17
56,4,-11
56,8,-19
56,12,-24
56,16,-30
56,20,-39
56,24,-55
56,28,-69
56,32,-94
56,36,-121
56,40,-155
56,44,-199
56,48,-249
56,52,-301
56,56,-352
56,60,-380
56,64,-388
56,68,-388
56,72,-385
56,76,-384
56,80,-384
56,84,-386
56,88,-388
56,92,-387
56,96,-376
56,100,-338
56,104,-279
56,108,-215
56,112,-154
56,116,-103
56,120,-59
56,124,-25
56,128,1
56,132,17
56,136,27
56,140,33
56,144,36
56,148,36
60,0,-23
60,4,-16
60,8,-24
60,12,-31
60,16,-39
60,20,-50
60,24,-72
60,28,-91
60,32,-125
60,36,-162
60,40,-212
60,44,-272
60,48,-335
60,52,-378
60,56,-388
60,60,-386
60,64,-379
60,68,-374
60,72,-371
60,76,-370
60,80,-371
60,84,-374
60,88,-379
60,92,-384
60,96,-388
60,100,-384
60,104,-352
60,108,-283
60,112,-214
60,116,-150
60,120,-93
60,124,-48
60,128,-16
60,132,4
60,136,17
60,140,25
60,144,29
60,148,30
64,0,-30
64,4,-22
64,8,-33
64,12,-43
64,16,-55
64,20,-72
64,24,-104
64,28,-132
64,32,-183
64,36,-238
64,40,-306
64,44,-374
64,48,-388
64,52,-384
64,56,-375
64,60,-367
64,64,-362
64,68,-359
64,72,-358
64,76,-358
64,80,-359
64,84,-362
64,88,-366
64,92,-371
64,96,-379
64,100,-387
64,104,-386
64,108,-354
64,112,-279
64,116,-201
64,120,-131
64,124,-74
64,128,-36
64,132,-11
64,136,5
64,140,15
64,144,20
64,148,22
68,0,-40
68,4,-32
68,8,-48
68,12,-62
68,16,-80
68,20,-107
68,24,-154
68,28,-196
68,32,-264
68,36,-338
68,40,-385
68,44,-386
68,48,-375
68,52,-366
68,56,-359
68,60,-354
68,64,-352
68,68,-351
68,72,-350
68,76,-351
68,80,-352
68,84,-354
68,88,-357
68,92,-362
68,96,-369
68,100,-378
68,104,-387
68,108,-382
68,112,-326
68,116,-241
68,120,-159
68,124,-97
68,128,-54
68,132,-26
68,136,-7
68,140,4
68,144,10
68,148,13
72,0,-53
72,4,-45
72,8,-68
72,12,-86
72,16,-116
72,20,-153
72,24,-216
72,28,-272
72,32,-355
72,36,-387
72,40,-382
72,44,-369
72,48,-360
72,52,-354
72,56,-350
72,60,-348
72,64,-346
72,68,-346
72,72,-346
72,76,-347
72,80,-348
72,84,-350
72,88,-352
72,92,-356
72,96,-363
72,100,-373
72,104,-384
72,108,-387
72,112,-345
72,116,-254
72,120,-169
72,124,-108
72,128,-65
72,132,-35
72,136,-16
72,140,-4
72,144,2
72,148,5
76,0,-68
76,4,-60
76,8,-93
76,12,-115
76,16,-159
76,20,-207
76,24,-283
76,28,-350
76,32,-388
76,36,-381
76,40,-367
76,44,-358
76,48,-351
76,52,-347
76,56,-345
76,60,-344
76,64,-344
76,68,-344
76,72,-344
76,76,-344
76,80,-345
76,84,-347
76,88,-349
76,92,-354
76,96,-360
76,100,-370
76,104,-383
76,108,-387
76,112,-343
76,116,-248
76,120,-168
76,124,-110
76,128,-70
76,132,-41
76,136,-23
76,140,-11
76,144,-5
76,148,-2
80,0,-85
80,4,-78
80,8,-120
80,12,-145
80,16,-205
80,20,-257
80,24,-341
80,28,-384
80,32,-384
80,36,-369
80,40,-358
80,44,-351
80,48,-347
80,52,-344
80,56,-343
80,60,-342
80,64,-342
80,68,-342
80,72,-342
80,76,-343
80,80,-344
80,84,-345
80,88,-348
80,92,-353
80,96,-361
80,100,-372
80,104,-385
80,108,-383
80,112,-318
80,116,-227
80,120,-156
80,124,-106
80,128,-69
80,132,-44
80,136,-28
80,140,-18
80,144,-12
80,148,-8
84,0,-100
84,4,-97
84,8,-144
84,12,-173
84,16,-243
84,20,-297
84,24,-375
84,28,-388
84,32,-376
84,36,-362
84,40,-353
84,44,-347
84,48,-344
84,52,-342
84,56,-342
84,60,-342
84,64,-341
84,68,-342
84,72,-342
84,76,-342
84,80,-344
84,84,-345
84,88,-348
84,92,-355
84,96,-365
84,100,-378
84,104,-388
84,108,-365
84,112,-274
84,116,-196
84,120,-139
84,124,-97
84,128,-67
84,132,-45
84,136,-32
84,140,-24
84,144,-18
84,148,-15
88,0,-110
88,4,-114
88,8,-163
88,12,-194
88,16,-266
88,20,-317
88,24,-382
88,28,-387
88,32,-373
88,36,-361
88,40,-352
88,44,-347
88,48,-344
88,52,-342
88,56,-342
88,60,-341
88,64,-341
88,68,-342
88,72,-342
88,76,-343
88,80,-344
88,84,-347
88,88,-352
88,92,-361
88,96,-375
88,100,-387
88,104,-378
88,108,-305
88,112,-224
88,116,-163
88,120,-118
88,124,-86
88,128,-61
88,132,-45
88,136,-35
88,140,-28
88,144,-23
88,148,-19
92,0,-116
92,4,-126
92,8,-172
92,12,-204
92,16,-272
92,20,-316
92,24,-382
92,28,-388
92,32,-376
92,36,-365
92,40,-356
92,44,-350
92,48,-346
92,52,-344
92,56,-343
92,60,-343
92,64,-343
92,68,-343
92,72,-344
92,76,-346
